Bisnovat SK-2,1,300000,0.0,300000
Boeing Model 64,1,300000,0.0,300000
Caproni Ca.2,9,300000,0.0,300000
Republic XF-84H,2,300000,0.0,""
Letov Š-20,118,300000,0.03,300000
Kawanishi K-12 Sakura,2,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Laird Solution,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Liuchow Kwangsi Type 3,1,300000,0.0,300000
Boeing KC-135 Stratotanker,803,39600000,31.79,[[United States dollar|US$]]39.6&nbsp;million ([[Fiscal year|FY]]98 dollars)
General Atomics ALTUS,2,300000,0.0,300000
ICP Savannah,650,300000,0.19,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
PWS-16,40,300000,0.01,300000
SNCAC NC.130,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Airdrome DeHavilland DH-2,2,5995,0.0,"[[US$]]5,995 (kit less engine and instruments, 2011)"
Cierva C.12,1,300000,0.0,300000
De Havilland Australia DHA-G2,2,300000,0.0,300000
Fouga CM.170 Magister,929,300000,0.27,""
Dornier Do 27,628,300000,0.18,""
Garland-Lincoln LF-1,3,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Farman F.190,158,300000,0.04,300000
Grumman F3F,147,20424,0.0,"$20,424 (as of 1935)<ref name=""greatac"">Cacutt 1989, pp. 155–162.</ref> "
Federal Aircraft CM-3,1,7000,0.0,$7000 in 1928<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Focke-Wulf A 33,3,300000,0.0,300000
I.Ae. 34 Clen Antú,6,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Breguet Type II,1,300000,0.0,300000
Roe III Triplane,6,300000,0.0,300000
Ryan Brougham,212,300000,0.06,300000
Koun Aircraft Dirigible Helicopter,1,6000,0.0,$6000 in 1939 <!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Focke-Wulf Fw 300,0,300000,0.0,""
Albatros D.IV,3,300000,0.0,300000
Zlín Z-XII,252,300000,0.07,""
Hafner A.R.III Gyroplane,1,300000,0.0,300000
Cornelius XFG-1,2,300000,0.0,300000
Siemens-Schuckert R.VIII,2,300000,0.0,300000
Murphy Elite,25,75000,0.0,"[[US$]]75,000-85,000 (completed aircraft, 2011)<ref name=""KitplanesDec2011"" />"
NAC Freelance,2,300000,0.0,300000
Kawasaki KAT-1,2,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Aichi AB-2,2,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Akaflieg Darmstadt D-30 Cirrus,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Anatra Anadis,1,300000,0.0,300000
Lioré et Olivier LeO H-190,45,300000,0.01,300000
Boeing Insitu RQ-21 Blackjack,109,300000,0.03,300000
Fokker D.XII,3,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
UTVA Aero 3,110,300000,0.03,300000
González Gil-Pazó GP-1,40,300000,0.01,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Vought F-8 Crusader,1219,300000,0.36,""
Pomilio PE,545,300000,0.16,300000
Renard R.34,1,300000,0.0,300000
Surrey Flying Services AL.1,1,300000,0.0,300000
Briegleb BG-6,9,300000,0.0,300000
Groppo Trial,50,300000,0.01,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Blackburn Sprat,1,300000,0.0,300000
Petlyakov Pe-8,93,300000,0.02,""
Backcountry Super Cubs Super Cub,138,53500,0.0,"[[US$]]53,500 (kit only, 2011)"
Pitcairn OP,3,300000,0.0,""
Eiri-Avion PIK-20,425,300000,0.12,300000
Caproni Ca.90,1,300000,0.0,300000
Cessna 150,23949,12000,0.28,"[[United States dollar|US$]]12,000-25,000 (2007)"
Agusta-Bell AB.102,1,300000,0.0,300000
Tupolev Tu-110,4,300000,0.0,300000
AgustaWestland AW139,770,12000000,9.24,"$12 million (2013)<ref>Huber, Mark. [http://www.ainonline.com/aviation-news/aviation-international-news/2013-10-02/russia-balks-35-aw139-order ""Russia Balks at 35-AW139 Order.""] ''AIN Online'', 2 October 2013.</ref>"
Fairey Primer,3,300000,0.0,300000
Meckler-Allen 1912 Biplane,1,20000,0.0,"$20,000 in 1912 <!--Incremental or flyaway cost for military or retail price for commercial aircraft-->"
Friesley Falcon,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
PIK-19,1,300000,0.0,300000
Szekely Flying Dutchman,21,2200,0.0,"$2,200 in 1930 <!--Incremental or flyaway cost for military or retail price for commercial aircraft-->"
